node_id,node_type
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,2
27,1
28,2
29,1
30,2
31,1
32,2
33,1
34,2
35,1
36,2
37,1
38,2
39,1
40,2
41,1
42,2
43,1
44,2
45,1
46,2
47,1
48,2
49,1
50,2
51,1
52,2
53,1
54,2
55,1
56,2
57,1
58,2
59,1
60,2
61,1
62,2
63,1
64,2
65,1
66,2
67,1
68,2
69,1
70,2
71,1
72,2
73,1
74,2
75,1
76,2
77,1
78,2
79,1
80,2
81,1
82,2
83,1
84,2
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
